datetime,actual_value,xgboost_forecast,lightgbm_forecast,gradient_boosting_forecast,catboost_forecast,adaboost_forecast,lstm_forecast
2025-12-19 13:00:00,8.1,8.927685,6.7791277912186,10.59241340396386,8.485102195186776,7.758283397791501,11.85
2025-12-19 13:30:00,9.86,9.693415,7.956518024931498,11.812347379306916,10.901422366234076,8.101219071421964,11.22
2025-12-19 14:00:00,10.28,9.8103895,7.508542628055662,10.360435508536762,11.24020714067333,8.358820706538975,10.86
2025-12-19 14:30:00,10.88,9.286579,8.435743062195552,8.955003162002518,11.16483743942188,9.85456210447275,11.78
2025-12-19 15:00:00,11.62,10.455123,10.19326578484575,9.717455246004484,11.418520664403015,10.83139720349999,11.51
2025-12-19 15:30:00,14.09,12.358076,11.112945671367136,13.03703978315274,12.443878332497013,13.328394732795877,13.4
2025-12-19 16:00:00,14.09,12.54025,12.523336470993115,12.742983447708932,13.33366182599713,13.56279419354775,13.54
2025-12-19 16:30:00,14.0,14.019677,13.71238891587635,14.482367770739556,13.96942689518795,14.211378086897,14.63
2025-12-19 17:00:00,13.0,13.851631,13.56817338650452,13.973730104413006,13.71212609282602,14.211378086897,13.75
2025-12-19 17:30:00,12.37,14.240233,13.061965476995612,14.260589084404746,14.042953402028592,14.211378086897,13.6
2025-12-19 18:00:00,12.37,13.439591,13.325374532972322,13.526261932347614,13.281405104004108,14.122359787926149,13.6
2025-12-19 18:30:00,11.7,13.320014,12.800833514176997,13.445519505740744,13.71671669096746,13.56279419354775,13.28
2025-12-19 19:00:00,11.62,12.91016,12.71944082203288,13.63823315239082,13.444132260881856,13.47445693785932,13.18
2025-12-19 19:30:00,11.62,12.732845,12.326431822084,13.292343007826585,12.8791462683527,13.435627095734118,12.98
2025-12-19 20:00:00,11.62,12.308895,12.023044138659728,14.664273351718435,12.821635036263665,13.435627095734118,13.03
2025-12-19 20:30:00,11.62,12.112732,11.622222128922866,12.836483506633392,12.606710871651105,13.208895493409887,12.44
2025-12-19 21:00:00,11.53,12.21997,11.203454751387554,12.81046497171251,12.430862538654011,13.202264496687464,12.46
2025-12-19 21:30:00,11.22,11.920322,10.934402970181688,12.542727818355708,11.957907244983716,13.01979998436281,11.99
